cj_preshway,CMG,CNH,CS,DMS,EG,GMR,GS,HB,HRS,Imbc,JW,JYP Ent,KB,KCC,KCI,KD,KG_M,KG_E,KH,KMH_hitex,KTH,KT,KOSPI
7720,2650,1265,6800,14650,3653,868394,92000,3175,2405,7190,5668,213100,1916,12670,2223,283365,9284,2710,7416,4830,5860,1330,391.269989
7650,2848,1300,6720,14400,3473,801391,91600,3235,2350,7130,5494,213100,1907,12670,2187,266766,8875,2705,7576,4916,5700,1290,361.320007
7510,2835,1320,6590,13150,3362,781443,91400,3100,2315,6830,5529,209220,1837,13254,2175,242602,8466,2805,7536,4619,5500,1310,null
7790,2571,1290,6600,13100,3302,810224,90000,2990,2305,6450,4579,187440,1799,12583,2025,221715,8057,2620,7957,4031,5290,1260,359.649994
7680,2571,1270,6600,12650,3203,978159,88800,3000,2305,5820,4173,195220,1706,12699,2163,216673,8087,2600,8118,3959,5010,1220,null
7880,2505,1250,6900,12900,3229,1085666,88200,2910,2300,5920,4307,192880,1771,12583,2013,224219,8028,2525,7997,3906,5000,1240,null
7700,2518,1265,6740,13450,3276,1020852,92000,2925,2325,6230,4777,198320,1771,12466,2082,240837,8262,2720,8138,4025,5150,1280,null
7790,2769,1285,6620,13050,3233,1234494,92900,3060,2320,6440,4847,193660,1776,12495,2268,239070,7882,2810,8558,4025,5250,1272,null
7790,2538,1325,6630,13400,3306,984056,92100,3050,2360,6350,5097,190540,1785,12845,2049,250148,7706,2935,8558,3893,5130,1240,null
7730,2374,1310,6400,13950,3366,925123,92300,3070,2370,6440,4847,191320,1869,13429,2094,227752,7648,2820,8418,3510,5120,1236,389.079987
7700,2425,1290,6010,13850,3293,908135,91000,2925,2265,6060,4510,174980,1823,14101,2045,227752,7035,2690,8218,3134,4830,1220,396.839996
7700,2340,1260,6110,14400,3345,988441,93900,2960,2260,6130,4527,172660,1837,14305,1989,224219,7561,2750,8338,3232,4945,1268,407.690002
